Minutes,Seconds,Frames,Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gx,Gy,Gz,label,Activity,Result
2,20,19,0,-2.823529,-81.882353,0.007843,-0.007843,-0.023529,-1.960784,-5.882353,-1.960784,2,2,2
2,20,20,0,0,-81.882353,0.007843,0.007843,-0.039216,-1.960784,1.960784,-1.960784,2,2,2
2,20,21,0,-2.823529,-81.882353,0.007843,0.007843,-0.039216,-1.960784,-5.882353,-1.960784,2,2,2
2,20,22,0,0,-81.882353,-0.007843,-0.007843,0.007843,-1.960784,1.960784,-1.960784,2,2,2
2,20,23,0,0,-80.470588,-0.101961,0.211765,-0.039216,-1.960784,1.960784,5.882353,2,2,2
2,20,24,0,-2.823529,-77.647059,0.290196,-0.023529,0.086275,-1.960784,-1.960784,84.313725,2,2,2
2,20,25,-2.823529,0,-77.647059,-0.054902,-0.258824,0.258824,-25.490196,9.803922,25.490196,2,2,2
2,20,26,-2.823529,-2.823529,-76.235294,-0.023529,0.039216,0.384314,1.960784,-25.490196,33.333333,2,1,2
2,20,27,0,-4.235294,-73.411765,0.007843,0.14902,0.305882,13.72549,-37.254902,60.784314,2,1,2
2,20,28,0,-4.235294,-70.588235,-0.070588,0.258824,0.133333,21.568627,-37.254902,111.764706,2,1,2
2,20,29,1.411765,-5.647059,-64.941176,-0.070588,0.117647,0.023529,33.333333,-41.176471,150.980392,2,1,2
2,21,0,2.823529,-7.058824,-59.294118,-0.086275,0.14902,-0.101961,33.333333,-56.862745,178.431373,2,1,2
2,21,1,4.235294,-8.470588,-53.647059,-0.039216,0.054902,-0.243137,29.411765,-37.254902,182.352941,2,1,2
2,21,2,5.647059,-8.470588,-48,0.023529,-0.007843,-0.290196,33.333333,-17.647059,162.745098,2,1,2
2,21,3,5.647059,-8.470588,-42.352941,0.023529,-0.054902,-0.352941,25.490196,5.882353,154.901961,2,1,2
2,21,4,5.647059,-8.470588,-38.117647,-0.023529,-0.101961,-0.384314,9.803922,-5.882353,139.215686,2,1,2
2,21,5,5.647059,-8.470588,-33.882353,0.054902,-0.086275,-0.321569,1.960784,5.882353,127.45098,2,1,2
2,21,6,5.647059,-7.058824,-31.058824,-0.070588,-0.211765,-0.227451,-9.803922,9.803922,72.54902,2,1,2
2,21,7,4.235294,-7.058824,-29.647059,0.054902,-0.039216,-0.101961,-9.803922,29.411765,37.254902,2,1,2
2,21,8,4.235294,-5.647059,-28.235294,0.039216,-0.039216,0.007843,-1.960784,17.647059,37.254902,2,1,2
2,21,9,4.235294,-5.647059,-26.823529,0.023529,-0.054902,0.039216,-1.960784,17.647059,33.333333,2,1,2
2,21,10,4.235294,-4.235294,-26.823529,0.039216,-0.023529,0.054902,-9.803922,17.647059,33.333333,2,1,2
2,21,11,2.823529,-4.235294,-24,0.039216,-0.007843,0.086275,-13.72549,13.72549,45.098039,2,1,2
2,21,12,2.823529,-4.235294,-24,0.007843,-0.101961,0.054902,-9.803922,13.72549,29.411765,2,1,2
2,21,13,2.823529,-2.823529,-22.588235,0.023529,0.007843,0.054902,-5.882353,13.72549,21.568627,2,1,2
2,21,14,2.823529,-2.823529,-21.176471,-0.023529,-0.070588,0.023529,-9.803922,9.803922,37.254902,2,1,2
2,21,15,1.411765,-2.823529,-21.176471,-0.039216,-0.101961,-0.007843,-5.882353,9.803922,13.72549,2,1,2
