Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gx,Gy,Gz,label,Activity,Result
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,0.007843,-0.007843,-0.039216,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
-2.823529,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,-21.176471,-0.023529,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.023529,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-21.176471,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
