Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Label
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-46.588235,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-48,-0.007843,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-49.411765,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
